ticker,exercice,capitaux_propres_mfcfa,dettes_financieres_mfcfa,statut,preuves,fichier_source
BICC,2024,99783.0,,VALIDE,plausible|rn_concorde_sika|exercice_reaffecte_2025->2024|exercice_deduit_du_nom_de_fichier,BICC_24a07bf1b1.json
BOAM,2022,34541.828466,,VALIDE,plausible|rn_concorde_sika|unite_corrigee_milliers,BOAM_77f20998d8.json
BOAN,2023,44172.691398,,VALIDE,plausible|rn_concorde_sika|unite_corrigee_milliers,BOAN_27e4730845.json
CABC,2025,758.352,417.601,PROBABLE,plausible|rn_divergent_sika(1439.474 vs 1704.0)|bilan_equilibre,CABC_a96ed5bf4b.json
CIEC,2023,33453.90754,1.4999999999999999e-05,VALIDE,plausible|rn_concorde_sika|unite_corrigee_milliers|exercice_deduit_du_nom_de_fichier,CIEC_494d0fcab4.json
NSBC,2020,108810.0,,VALIDE,plausible|bilan_equilibre,NSBC_14c9731723.json
NSBC,2021,132524.0,,VALIDE,plausible|rn_concorde_sika|exercice_reaffecte_2022->2021|bilan_equilibre|exercice_deduit_du_nom_de_fichier,NSBC_9e0cb93b9f.json
NSBC,2022,164905.0,,VALIDE,plausible|rn_concorde_sika|exercice_reaffecte_2023->2022|bilan_equilibre|exercice_deduit_du_nom_de_fichier,NSBC_933b9c4adb.json
NSBC,2023,189719.0,,VALIDE,plausible|rn_concorde_sika|exercice_reaffecte_2024->2023|bilan_equilibre|exercice_deduit_du_nom_de_fichier,NSBC_b52b131a97.json
NSBC,2024,211371.0,,VALIDE,plausible|rn_concorde_sika|exercice_reaffecte_2025->2024|bilan_equilibre|exercice_deduit_du_nom_de_fichier,NSBC_d2a84ff6e4.json
ORGT,2023,6987.0,,VALIDE,plausible|rn_concorde_sika|exercice_deduit_du_nom_de_fichier,ORGT_eaa3f88c46.json
PALC,2024,135061.151,4047.029,VALIDE,plausible|rn_concorde_sika|bilan_equilibre|exercice_deduit_du_nom_de_fichier,PALC_25444c511c.json
PALC,2025,142638.984,796.559,VALIDE,plausible|rn_concorde_sika|bilan_equilibre|exercice_deduit_du_nom_de_fichier,PALC_357373b0d1.json
PRSC,2023,11015.041885999999,1.6e-05,VALIDE,plausible|rn_concorde_sika|unite_corrigee_milliers|exercice_deduit_du_nom_de_fichier,PRSC_c55474bd29.json
PRSC,2024,11283.033493,1.6e-05,VALIDE,plausible|rn_concorde_sika|unite_corrigee_milliers|exercice_deduit_du_nom_de_fichier,PRSC_521a9634dc.json
SAFC,2025,5916.0,,VALIDE,plausible|rn_concorde_sika|bilan_equilibre|exercice_deduit_du_nom_de_fichier,SAFC_241fbc6904.json
SCRC,2023,17363.224113,35876.628027000006,VALIDE,plausible|rn_concorde_sika|unite_corrigee_milliers,SCRC_29538cde42.json
SDSC,2023,61034.257,10733.982,VALIDE,plausible|rn_concorde_sika,SDSC_e59445b835.json
SICC,2019,2895608.308,0.016,PROBABLE,plausible|exercice_deduit_du_nom_de_fichier,SICC_f83924273a.json
